Bedrooms,Bathrooms,Price,Areasqft
4,3,389000,2338
4,3,378000,2778
3,2,79900,33105.6
3,2,119900,1842
3,2,599999,47480.4
3,2,289900,94960.8
9,1,3490000,479160
3,1,95900,20908.8
3,2,225000,174240
3,2,234900,31363.2
5,3,399000,56628
4,5,494831,300564
4,2,265150,1635
3,2,149000,16552.8
4,3,380000,30056.4
5,3,879900,348480
3,2,300000,1755
4,2,235900,14374.8
7,4,1300000,71002.8
4,3,425000,130680
4,2,379900,6534
3,2,375000,6534
4,3,135000,16117.2
4,1,129900,43995.6
3,2,449900,1978495.2
2,1,144900,17859.6
2,1,89000,1145
4,3,594900,397267.2
3,2,135000,37461.6
3,2,240000,37461.6
3,2,79900,94525.2
3,2,129900,130680
3,1,149900,1215
4,3,439900,13503.6
4,3,399000,25700.4
3,2,245000,13068
4,2,310000,17424
4,3,170000,126324
3,2,275000,22651.2
3,2,210000,17859.6
3,2,290000,347608.8
3,2,405000,17424
3,2,375000,315374.4
3,2,178000,22215.6
3,2,235000,10454.4
3,2,425000,4792
5,4,1469000,15246
5,4,379900,217800
4,3,484900,130680
4,3,629900,87120
2,1,29900,8843
3,2,248000,11325.6
3,2,99900,17859.6
3,2,194900,3485
4,2,154900,177724.8
2,1,129900,43560
6,5,2400000,4784
3,2,245000,8712
2,1,15000,6970
4,3,799900,23086.8
1,3,379000,2114838
4,3,689900,261360
3,2,209900,174240
3,3,112000,20037.6
3,2,219900,108900
3,2,239000,254390.4
4,3,409000,12632.4
4,3,410000,43560
2,1,244999,13068
4,3,550000,1176120
3,2,104000,65340
3,2,330000,20908.8
3,3,575000,60112.8
3,2,87500,81457.2
3,2,139900,43560
3,2,345000,189050.4
4,2,699500,264844.8
4,4,924900,21780
7,6,239000,45738
3,2,295000,23958
7,4,650000,102366
3,2,390000,14810.4
4,3,646500,27442.8
3,2,589000,20037.6
4,3,349900,23522.4
4,3,299900,84506.4
3,2,149900,479160
3,2,229900,10018.8
3,2,130000,23522.4
3,2,215000,43560
2,1,150000,12632.4
4,2,54900,2240
3,1,52000,8276
3,2,276900,15246
4,4,239900,130680
3,3,298000,87555.6
3,1,105000,7841
3,2,280000,22215.6
4,2,197500,21780
3,2,199900,13068
3,1,173900,24829.2
2,1,49000,6534
4,3,289000,46173.6
7,4,165000,15246
4,3,399000,25700.4
3,2,314900,1816
4,3,230000,10890
4,2,115000,7009
4,2,369000,14374.8
2,2,159900,972
2,2,149900,1066
4,2,299490,1815
4,2,294490,1815
4,2,379900,10018.8
3,2,289900,1524
3,2,359900,16552.8
4,3,549900,110206.8
3,2,285000,12196.8
3,2,284900,1370
4,3,419900,13503.6
